ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Problematic,Other_Form,Variant_ID
assa1269-1-1-1,,assa1269-1,1,kur,kur,[],,['chan2019'],,False,False,,1
assa1269-1-2-1,,assa1269-1,2,wári,wári,[],,['chan2019'],,False,False,,1
assa1269-1-3-1,,assa1269-1,3,écà,écà,[],,['chan2019'],,False,False,,1
assa1269-1-4-1,,assa1269-1,4,kús,kús,[],,['chan2019'],,False,False,,1
assa1269-1-5-1,,assa1269-1,5,mási,mási,[],,['chan2019'],,False,False,,1
assa1269-1-6-1,,assa1269-1,6,tɔ̀r,tɔ̀r,[],,['chan2019'],,False,False,,1
assa1269-1-7-1,,assa1269-1,7,kál,kál,[],,['chan2019'],,False,False,,1
assa1269-1-8-1,,assa1269-1,8,kíbís,kíbís,[],,['chan2019'],,False,False,,1
assa1269-1-9-1,,assa1269-1,9,úkù,úkù,[],,['chan2019'],,False,False,,1
assa1269-1-10-1,,assa1269-1,10,mɛ̀r,mɛ̀r,[],,['chan2019'],,False,False,,1
assa1269-1-11-1,,assa1269-1,11,mɛ̀r-kun-térék,mɛ̀r-kun-térék,[],or Arabic numbers,['chan2019'],,False,False,,1
assa1269-1-12-1,,assa1269-1,12,mɛ̀r-wári-térék,mɛ̀r-wári-térék,[],,['chan2019'],,False,False,,1
assa1269-1-13-1,,assa1269-1,13,mɛ̀r-écà-térék,mɛ̀r-écà-térék,[],,['chan2019'],,False,False,,1
assa1269-1-14-1,,assa1269-1,14,mɛ̀r-kús-térék,mɛ̀r-kús-térék,[],,['chan2019'],,False,False,,1
assa1269-1-15-1,,assa1269-1,15,mɛ̀r-mási-térék,mɛ̀r-mási-térék,[],,['chan2019'],,False,False,,1
assa1269-1-16-1,,assa1269-1,16,mɛ̀r-tɔ̀r-térék,mɛ̀r-tɔ̀r-térék,[],,['chan2019'],,False,False,,1
assa1269-1-17-1,,assa1269-1,17,mɛ̀r-kál-térék,mɛ̀r-kál-térék,[],,['chan2019'],,False,False,,1
assa1269-1-18-1,,assa1269-1,18,mɛ̀r-kíbís-térék,mɛ̀r-kíbís-térék,[],,['chan2019'],,False,False,,1
assa1269-1-19-1,,assa1269-1,19,mɛ̀r-úkù-térék,mɛ̀r-úkù-térék,[],,['chan2019'],,False,False,,1
assa1269-1-20-1,,assa1269-1,20,tili,tili,[],,['chan2019'],,False,False,,1
assa1269-1-100-1,,assa1269-1,100,mil'a,mil'a,[],< Arabic ,['chan2019'],,True,False,,1
